,County,Trump,Biden,Jorgensen,Hawkins,Blankenship,Simmons,Pres_Write_In,Total_Cast,Trump%,Biden%,Jorgensen%,Hawkins%,Blankenship%,Simmons%,Pres_Write_In%,Trump-Biden,Trump-Biden%
0,ALAMANCE,46056.0,38825.0,686.0,223.0,151.0,0.0,2032.0,87973.0,52.35,44.13,0.78,0.25,0.17,0.0,2.31,7231.0,8.219999999999999
1,ALEXANDER,15888.0,4145.0,127.0,18.0,24.0,0.0,493.0,20695.0,76.77,20.03,0.61,0.09,0.12,0.0,2.38,11743.0,56.739999999999995
2,ALLEGHANY,4527.0,1486.0,35.0,15.0,5.0,0.0,81.0,6149.0,73.62,24.17,0.57,0.24,0.08,0.0,1.32,3041.0,49.45
3,ANSON,5321.0,5789.0,41.0,14.0,19.0,0.0,88.0,11272.0,47.21,51.36,0.36,0.12,0.17,0.0,0.78,-468.0,-4.149999999999999
4,ASHE,11451.0,4164.0,126.0,23.0,27.0,0.0,267.0,16058.0,71.31,25.93,0.78,0.14,0.17,0.0,1.66,7287.0,45.38
5,AVERY,7172.0,2191.0,56.0,13.0,10.0,0.0,406.0,9848.0,72.83,22.25,0.57,0.13,0.1,0.0,4.12,4981.0,50.58
6,BEAUFORT,16437.0,9633.0,137.0,30.0,37.0,0.0,284.0,26558.0,61.89,36.27,0.52,0.11,0.14,0.0,1.07,6804.0,25.619999999999997
7,BERTIE,3817.0,5939.0,29.0,15.0,8.0,0.0,112.0,9920.0,38.48,59.87,0.29,0.15,0.08,0.0,1.13,-2122.0,-21.39
8,BLADEN,9676.0,7326.0,68.0,18.0,20.0,0.0,367.0,17475.0,55.37,41.92,0.39,0.1,0.11,0.0,2.1,2350.0,13.449999999999996
9,BRUNSWICK,55850.0,33310.0,642.0,119.0,91.0,2.0,1542.0,91556.0,61.0,36.38,0.7,0.13,0.1,0.0,1.68,22540.0,24.619999999999997
10,BUNCOMBE,62412.0,96515.0,1460.0,542.0,225.0,2.0,6794.0,167950.0,37.16,57.47,0.87,0.32,0.13,0.0,4.05,-34103.0,-20.310000000000002
11,BURKE,31019.0,13118.0,270.0,83.0,43.0,0.0,604.0,45137.0,68.72,29.06,0.6,0.18,0.1,0.0,1.34,17901.0,39.66
12,CABARRUS,63237.0,52162.0,1096.0,253.0,144.0,5.0,3061.0,119958.0,52.72,43.48,0.91,0.21,0.12,0.0,2.55,11075.0,9.240000000000002
13,CALDWELL,32119.0,10245.0,273.0,60.0,52.0,0.0,598.0,43347.0,74.1,23.63,0.63,0.14,0.12,0.0,1.38,21874.0,50.47
14,CAMDEN,4312.0,1537.0,76.0,8.0,5.0,0.0,214.0,6152.0,70.09,24.98,1.24,0.13,0.08,0.0,3.48,2775.0,45.11
15,CARTERET,30028.0,12093.0,373.0,64.0,57.0,0.0,709.0,43324.0,69.31,27.91,0.86,0.15,0.13,0.0,1.64,17935.0,41.400000000000006
16,CASWELL,7089.0,4860.0,64.0,19.0,8.0,0.0,235.0,12275.0,57.75,39.59,0.52,0.15,0.07,0.0,1.91,2229.0,18.159999999999997
17,CATAWBA,56588.0,25689.0,652.0,194.0,130.0,0.0,1463.0,84716.0,66.8,30.32,0.77,0.23,0.15,0.0,1.73,30899.0,36.48
18,CHATHAM,21186.0,26787.0,366.0,90.0,60.0,0.0,1109.0,49598.0,42.72,54.01,0.74,0.18,0.12,0.0,2.24,-5601.0,-11.29
19,CHEROKEE,12628.0,3583.0,95.0,49.0,39.0,0.0,191.0,16585.0,76.14,21.6,0.57,0.3,0.24,0.0,1.15,9045.0,54.54
20,CHOWAN,4471.0,3247.0,47.0,7.0,5.0,1.0,141.0,7919.0,56.46,41.0,0.59,0.09,0.06,0.01,1.78,1224.0,15.46
21,CLAY,5112.0,1699.0,46.0,14.0,11.0,0.0,130.0,7012.0,72.9,24.23,0.66,0.2,0.16,0.0,1.85,3413.0,48.67
22,CLEVELAND,33798.0,16955.0,329.0,81.0,74.0,0.0,892.0,52129.0,64.84,32.53,0.63,0.16,0.14,0.0,1.71,16843.0,32.31
23,COLUMBUS,16832.0,9446.0,88.0,23.0,33.0,0.0,592.0,27014.0,62.31,34.97,0.33,0.09,0.12,0.0,2.19,7386.0,27.340000000000003
24,CRAVEN,31032.0,21148.0,626.0,92.0,73.0,0.0,1745.0,54716.0,56.71,38.65,1.14,0.17,0.13,0.0,3.19,9884.0,18.060000000000002
25,CUMBERLAND,60032.0,84469.0,1645.0,423.0,244.0,8.0,3683.0,150504.0,39.89,56.12,1.09,0.28,0.16,0.01,2.45,-24437.0,-16.229999999999997
26,CURRITUCK,11657.0,4195.0,209.0,29.0,24.0,0.0,761.0,16875.0,69.08,24.86,1.24,0.17,0.14,0.0,4.51,7462.0,44.22
27,DARE,13938.0,9936.0,223.0,47.0,31.0,0.0,504.0,24679.0,56.48,40.26,0.9,0.19,0.13,0.0,2.04,4002.0,16.22
28,DAVIDSON,64658.0,22636.0,703.0,187.0,189.0,0.0,1794.0,90167.0,71.71,25.1,0.78,0.21,0.21,0.0,1.99,42022.0,46.60999999999999
29,DAVIE,18228.0,6713.0,213.0,53.0,32.0,0.0,351.0,25590.0,71.23,26.23,0.83,0.21,0.13,0.0,1.37,11515.0,45.0
30,DUPLIN,13793.0,8767.0,84.0,33.0,17.0,0.0,319.0,23013.0,59.94,38.1,0.37,0.14,0.07,0.0,1.39,5026.0,21.839999999999996
31,DURHAM,32459.0,144688.0,1504.0,519.0,206.0,12.0,1973.0,181361.0,17.9,79.78,0.83,0.29,0.11,0.01,1.09,-112229.0,-61.88
32,EDGECOMBE,9206.0,16089.0,97.0,33.0,27.0,1.0,510.0,25963.0,35.46,61.97,0.37,0.13,0.1,0.0,1.96,-6883.0,-26.509999999999998
33,FORSYTH,85064.0,113033.0,1785.0,499.0,298.0,6.0,5907.0,206592.0,41.17,54.71,0.86,0.24,0.14,0.0,2.86,-27969.0,-13.54
34,FRANKLIN,20901.0,15879.0,333.0,75.0,73.0,0.0,1316.0,38577.0,54.18,41.16,0.86,0.19,0.19,0.0,3.41,5022.0,13.020000000000003
35,GASTON,73033.0,40959.0,910.0,225.0,142.0,1.0,2969.0,118239.0,61.77,34.64,0.77,0.19,0.12,0.0,2.51,32074.0,27.130000000000003
