,County,Trump,Trump%,Biden,Biden%,Tillis,Tillis%,Cunningham,Cunningham%,Forest,Forest%,Cooper,Cooper%,Robinson,Robinson%,Holley,Holley%,ONeill,ONeill%,Stein,Stein%,Sykes,Sykes%,Marshall,Marshall%,Folwell,Folwell%,Chatterji,Chatterji%,Truitt,Truitt%,Mangrum,Mangrum%,Street,Street%,Wood,Wood%,Troxler,Troxler%,Wadsworth,Wadsworth%,Dobson,Dobson%,Holmes,Holmes%,Causey,Causey%,Goodwin,Goodwin%,REP_AVG,REP_MIN,REP_MAX,DEM_AVG,DEM_MIN,DEM_MAX,REP_High-Low,REP_AVG-DEM_AVG,Total_President,Total_Senate,Total_Governor
0,ALAMANCE,46056.0,52.35,38825.0,44.13,44246.0,51.74,38038.0,44.48,42918.0,49.94,41979.0,48.85,46876.0,54.96,38421.0,45.04,44842.0,52.78,40116.0,47.22,43987.0,51.92,40731.0,48.08,46144.0,54.65,38285.0,45.35,45947.0,54.44,38456.0,45.56,44519.0,52.8,39790.0,47.2,49190.0,57.92,35737.0,42.08,45679.0,54.12,38727.0,45.88,46370.0,54.94,38032.0,45.06,45564.0,42918.0,49190.0,38928.0,35737.0,41979.0,6272.0,6636.0,87973.0,85508.0,85935.0
1,ALEXANDER,15888.0,76.77,4145.0,20.03,14739.0,73.53,4287.0,21.39,14980.0,74.21,4980.0,24.67,15733.0,79.08,4161.0,20.92,14916.0,75.24,4909.0,24.76,14789.0,75.08,4909.0,24.92,15229.0,77.82,4340.0,22.18,15297.0,78.01,4312.0,21.99,14956.0,76.14,4687.0,23.86,15737.0,79.77,3990.0,20.23,15242.0,77.6,4400.0,22.4,15268.0,77.63,4400.0,22.37,15231.0,14739.0,15888.0,4460.0,3990.0,4980.0,1149.0,10771.0,20695.0,20044.0,20187.0
2,ALLEGHANY,4527.0,73.62,1486.0,24.17,4082.0,67.95,1587.0,26.42,4085.0,67.14,1929.0,31.71,4435.0,74.28,1536.0,25.72,4226.0,70.91,1734.0,29.09,4050.0,68.77,1839.0,31.23,4269.0,73.07,1573.0,26.93,4275.0,73.08,1575.0,26.92,4125.0,70.6,1718.0,29.4,4633.0,78.06,1302.0,21.94,4274.0,72.84,1594.0,27.16,4255.0,72.7,1598.0,27.3,4270.0,4050.0,4633.0,1623.0,1302.0,1929.0,583.0,2647.0,6149.0,6007.0,6084.0
3,ANSON,5321.0,47.21,5789.0,51.36,4981.0,44.84,5756.0,51.82,4977.0,44.41,6116.0,54.58,5257.0,47.5,5810.0,52.5,4914.0,44.49,6130.0,55.51,4887.0,44.35,6131.0,55.65,5265.0,47.96,5714.0,52.04,5096.0,46.39,5889.0,53.61,4951.0,45.01,6048.0,54.99,5311.0,48.36,5671.0,51.64,5124.0,46.52,5891.0,53.48,4957.0,44.95,6071.0,55.05,5087.0,4887.0,5321.0,5918.0,5671.0,6131.0,434.0,-831.0,11272.0,11108.0,11206.0
4,ASHE,11451.0,71.31,4164.0,25.93,10619.0,67.91,4279.0,27.37,10622.0,67.33,4967.0,31.48,11166.0,72.28,4282.0,27.72,10817.0,70.17,4598.0,29.83,10513.0,68.49,4837.0,31.51,10961.0,72.08,4245.0,27.92,10955.0,71.77,4309.0,28.23,10626.0,69.73,4613.0,30.27,11579.0,74.98,3863.0,25.02,11037.0,72.06,4280.0,27.94,10965.0,71.91,4283.0,28.09,10943.0,10513.0,11579.0,4393.0,3863.0,4967.0,1066.0,6550.0,16058.0,15636.0,15777.0
5,AVERY,7172.0,72.83,2191.0,22.25,6865.0,73.65,2079.0,22.3,6894.0,73.21,2407.0,25.56,7137.0,77.42,2081.0,22.58,6947.0,75.69,2231.0,24.31,6839.0,74.98,2282.0,25.02,6980.0,77.2,2061.0,22.8,6997.0,77.03,2086.0,22.97,6900.0,75.9,2191.0,24.1,7216.0,78.92,1927.0,21.08,7237.0,78.59,1972.0,21.41,7063.0,77.65,2033.0,22.35,7021.0,6839.0,7237.0,2128.0,1927.0,2407.0,398.0,4893.0,9848.0,9321.0,9417.0
6,BEAUFORT,16437.0,61.89,9633.0,36.27,15448.0,59.31,9439.0,36.24,15710.0,59.89,10291.0,39.23,16469.0,63.72,9378.0,36.28,15815.0,61.38,9950.0,38.62,15290.0,59.46,10423.0,40.54,16186.0,63.33,9372.0,36.67,16064.0,62.78,9523.0,37.22,15172.0,59.21,10451.0,40.79,16756.0,65.29,8908.0,34.71,15797.0,61.62,9840.0,38.38,16089.0,62.82,9521.0,37.18,15936.0,15172.0,16756.0,9727.0,8908.0,10451.0,1584.0,6209.0,26558.0,26046.0,26232.0
7,BERTIE,3817.0,38.48,5939.0,59.87,3597.0,37.11,5825.0,60.09,3654.0,37.33,6080.0,62.12,3765.0,39.2,5839.0,60.8,3601.0,37.8,5925.0,62.2,3476.0,36.39,6076.0,63.61,3748.0,39.62,5712.0,60.38,3648.0,38.4,5851.0,61.6,3513.0,36.85,6020.0,63.15,3849.0,40.08,5755.0,59.92,3615.0,37.74,5964.0,62.26,3616.0,37.9,5924.0,62.1,3658.0,3476.0,3849.0,5909.0,5712.0,6080.0,373.0,-2251.0,9920.0,9694.0,9788.0
8,BLADEN,9676.0,55.37,7326.0,41.92,8967.0,53.12,7280.0,43.13,9096.0,53.4,7784.0,45.7,9552.0,57.06,7189.0,42.94,9007.0,54.35,7564.0,45.65,8633.0,51.87,8011.0,48.13,9131.0,55.47,7331.0,44.53,9203.0,55.76,7301.0,44.24,8883.0,53.65,7674.0,46.35,9612.0,57.58,7082.0,42.42,9109.0,54.89,7487.0,45.11,9214.0,55.51,7386.0,44.49,9174.0,8633.0,9676.0,7451.0,7082.0,8011.0,1043.0,1723.0,17475.0,16881.0,17033.0
9,BRUNSWICK,55850.0,61.0,33310.0,36.38,52971.0,59.38,32180.0,36.08,51703.0,57.59,36818.0,41.01,55476.0,63.21,32292.0,36.79,54081.0,61.69,33581.0,38.31,53250.0,61.2,33766.0,38.8,54725.0,63.78,31083.0,36.22,54914.0,63.87,31070.0,36.13,53067.0,61.53,33175.0,38.47,55732.0,64.59,30557.0,35.41,53959.0,62.44,32465.0,37.56,55574.0,64.51,30571.0,35.49,54275.0,51703.0,55850.0,32572.0,30557.0,36818.0,4147.0,21703.0,91556.0,89202.0,89781.0
