,county_desc,reg_CST,reg_DEM,reg_GRE,reg_LIB,reg_REP,reg_UNA,reg_Total,turn_CST,turn_DEM,turn_GRE,turn_LIB,turn_REP,turn_UNA,turn_Total,ab_CST,ab_DEM,ab_GRE,ab_LIB,ab_REP,ab_UNA,ab_Total,DEM%_of_registrants,REP%_of_registrants,UNA%_of_registrants,LIB%_of_registrants,CST%_of_registrants,GRE%_of_registrants,%DEM_voting,%REP_voting,%UNA_voting,%LIB_voting,%CST_voting,%GRE_voting,DEM%_of_AB,REP%_of_AB,UNA%_of_AB,LIB%_of_AB,CST%_of_AB,GRE%_of_AB,DEM%_of_votes,REP%_of_votes,UNA%_of_votes,LIB%_of_votes,CST%_of_votes,GRE%_of_votes,DEM_votes%-reg%,REP_votes%-reg%,UNA_votes%-reg%,LIB_votes%-reg%,CST_votes%-reg%,GRE_votes%-reg%
0,ALAMANCE,66.0,39248.0,31.0,655.0,36292.0,34753.0,111045.0,33.0,30484.0,19.0,433.0,30831.0,24588.0,86388.0,25.0,25958.0,13.0,304.0,23786.0,19242.0,69328.0,35.34,32.68,31.3,0.59,0.06,0.03,77.67,84.95,70.75,66.11,50.0,61.29,37.44,34.31,27.76,0.44,0.04,0.02,35.29,35.69,28.46,0.5,0.04,0.02,-0.05000000000000426,3.009999999999998,-2.84,-0.08999999999999997,-0.019999999999999997,-0.009999999999999998
1,ALEXANDER,22.0,5109.0,3.0,108.0,11779.0,7945.0,24966.0,13.0,4042.0,2.0,73.0,10198.0,6005.0,20333.0,8.0,3430.0,2.0,50.0,8526.0,4946.0,16962.0,20.46,47.18,31.82,0.43,0.09,0.01,79.12,86.58,75.58,67.59,59.09,66.67,20.22,50.27,29.16,0.29,0.05,0.01,19.88,50.15,29.53,0.36,0.06,0.01,-0.5800000000000018,2.969999999999999,-2.289999999999999,-0.07,-0.03,0.0
2,ALLEGHANY,2.0,2158.0,4.0,34.0,2984.0,2430.0,7612.0,2.0,1740.0,3.0,18.0,2569.0,1791.0,6123.0,0.0,1488.0,3.0,12.0,2101.0,1460.0,5064.0,28.35,39.2,31.92,0.45,0.03,0.05,80.63,86.09,73.7,52.94,100.0,75.0,29.38,41.49,28.83,0.24,0.0,0.06,28.42,41.96,29.25,0.29,0.03,0.05,0.07000000000000028,2.759999999999998,-2.6700000000000017,-0.16000000000000003,0.0,0.0
3,ANSON,24.0,10125.0,8.0,35.0,2867.0,3674.0,16733.0,14.0,6579.0,2.0,16.0,2278.0,2388.0,11277.0,7.0,5025.0,2.0,11.0,1404.0,1525.0,7974.0,60.51,17.13,21.96,0.21,0.14,0.05,64.98,79.46,65.0,45.71,58.33,25.0,63.02,17.61,19.12,0.14,0.09,0.03,58.34,20.2,21.18,0.14,0.12,0.02,-2.1699999999999946,3.0700000000000003,-0.7800000000000011,-0.06999999999999998,-0.020000000000000018,-0.030000000000000002
4,ASHE,16.0,4508.0,5.0,92.0,8876.0,6062.0,19559.0,16.0,3616.0,3.0,64.0,7568.0,4650.0,15917.0,10.0,2815.0,0.0,38.0,5122.0,3366.0,11351.0,23.05,45.38,30.99,0.47,0.08,0.03,80.21,85.26,76.71,69.57,100.0,60.0,24.8,45.12,29.65,0.33,0.09,0.0,22.72,47.55,29.21,0.4,0.1,0.02,-0.33000000000000185,2.1699999999999946,-1.7799999999999976,-0.06999999999999995,0.020000000000000004,-0.009999999999999998
5,AVERY,9.0,1435.0,6.0,61.0,7166.0,3702.0,12379.0,9.0,985.0,5.0,31.0,5821.0,2642.0,9493.0,7.0,744.0,5.0,19.0,3495.0,1745.0,6015.0,11.59,57.89,29.91,0.49,0.07,0.05,68.64,81.23,71.37,50.82,100.0,83.33,12.37,58.1,29.01,0.32,0.12,0.08,10.38,61.32,27.83,0.33,0.09,0.05,-1.209999999999999,3.4299999999999997,-2.080000000000002,-0.15999999999999998,0.01999999999999999,0.0
6,BEAUFORT,19.0,11957.0,16.0,110.0,12097.0,9908.0,34107.0,13.0,8983.0,11.0,71.0,10239.0,7077.0,26394.0,11.0,7387.0,10.0,55.0,7620.0,5456.0,20539.0,35.06,35.47,29.05,0.32,0.06,0.05,75.13,84.64,71.43,64.55,68.42,68.75,35.97,37.1,26.56,0.27,0.05,0.05,34.03,38.79,26.81,0.27,0.05,0.04,-1.0300000000000011,3.3200000000000003,-2.240000000000002,-0.04999999999999999,-0.009999999999999995,-0.010000000000000002
7,BERTIE,3.0,8770.0,3.0,39.0,1632.0,2893.0,13340.0,1.0,6531.0,1.0,23.0,1289.0,2006.0,9851.0,0.0,5430.0,0.0,17.0,923.0,1526.0,7896.0,65.74,12.23,21.69,0.29,0.02,0.02,74.47,78.98,69.34,58.97,33.33,33.33,68.77,11.69,19.33,0.22,0.0,0.0,66.3,13.08,20.36,0.23,0.01,0.01,0.5600000000000023,0.8499999999999996,-1.3300000000000018,-0.05999999999999997,-0.01,-0.01
8,BLADEN,7.0,10760.0,5.0,64.0,4960.0,7079.0,22875.0,3.0,8093.0,2.0,33.0,3985.0,5052.0,17168.0,2.0,6752.0,1.0,22.0,3096.0,4000.0,13873.0,47.04,21.68,30.95,0.28,0.03,0.02,75.21,80.34,71.37,51.56,42.86,40.0,48.67,22.32,28.83,0.16,0.01,0.01,47.14,23.21,29.43,0.19,0.02,0.01,0.10000000000000142,1.5300000000000011,-1.5199999999999996,-0.09000000000000002,-0.009999999999999998,-0.01
9,BRUNSWICK,53.0,27238.0,30.0,586.0,45530.0,41427.0,114864.0,37.0,21267.0,20.0,382.0,37928.0,30787.0,90421.0,28.0,19433.0,16.0,287.0,32918.0,26974.0,79656.0,23.71,39.64,36.07,0.51,0.05,0.03,78.08,83.3,74.32,65.19,69.81,66.67,24.4,41.33,33.86,0.36,0.04,0.02,23.52,41.95,34.05,0.42,0.04,0.02,-0.19000000000000128,2.3100000000000023,-2.020000000000003,-0.09000000000000002,-0.010000000000000002,-0.009999999999999998
