county_desc,reg_DEM,reg_Other,reg_REP,reg_Total,turn_DEM,turn_Other,turn_REP,turn_Total,ab_DEM,ab_Other,ab_REP,ab_Total,DEM%_of_registrants,REP%_of_registrants,Other%_of_registrants,%DEM_voting,%REP_voting,%Other_voting,DEM%_of_AB,REP%_of_AB,Other%_of_AB,DEM%_of_votes,REP%_of_votes,Other%_of_votes,DEM_votes%-reg%,REP_votes%-reg%,Other_votes%-reg%
ALAMANCE,-306.0,6975.0,3136.0,9805.0,2746.0,7072.0,5039.0,14857.0,8032.0,9542.0,8913.0,26487.0,-3.729999999999997,-0.07000000000000028,3.789999999999999,7.540000000000006,7.159999999999997,7.530000000000001,-4.400000000000006,-0.4099999999999966,4.809999999999999,-3.490000000000002,-0.37000000000000455,3.849999999999998,0.23999999999999488,-0.30000000000000426,0.05999999999999872
ALEXANDER,-1447.0,947.0,1027.0,527.0,-688.0,1126.0,1453.0,1891.0,55.0,1482.0,2321.0,3858.0,-6.369999999999997,3.1799999999999997,3.1799999999999997,6.969999999999999,5.25,5.780000000000001,-5.540000000000003,2.9200000000000017,2.620000000000001,-5.77,2.729999999999997,3.039999999999999,0.5999999999999979,-0.45000000000000284,-0.14000000000000057
ALLEGHANY,-655.0,370.0,427.0,142.0,-265.0,449.0,563.0,747.0,43.0,544.0,713.0,1300.0,-9.309999999999995,4.970000000000006,4.340000000000003,9.349999999999994,7.640000000000001,8.439999999999998,-9.010000000000002,4.609999999999999,4.399999999999999,-8.879999999999995,4.649999999999999,4.239999999999998,0.4299999999999997,-0.3200000000000074,-0.10000000000000497
ANSON,-1811.0,720.0,411.0,-680.0,-709.0,773.0,615.0,679.0,587.0,725.0,576.0,1888.0,-8.04,3.0299999999999994,5.009999999999998,3.9200000000000017,11.75,10.169999999999995,-9.899999999999999,4.01,5.909999999999998,-10.429999999999993,4.51,5.920000000000002,-2.3899999999999935,1.4800000000000004,0.9100000000000037
ASHE,-1162.0,856.0,816.0,510.0,-368.0,1209.0,1439.0,2280.0,546.0,1492.0,1970.0,4008.0,-6.719999999999999,3.0700000000000003,3.6499999999999986,9.949999999999989,9.219999999999999,10.400000000000006,-6.099999999999998,2.1899999999999977,3.9099999999999966,-6.490000000000002,2.6099999999999994,3.8999999999999986,0.22999999999999687,-0.46000000000000085,0.25
AVERY,-60.0,333.0,131.0,404.0,33.0,522.0,612.0,1167.0,274.0,857.0,1567.0,2698.0,-0.8900000000000006,-0.8599999999999994,1.75,4.960000000000001,7.189999999999998,8.280000000000001,-1.8000000000000007,-0.01999999999999602,1.8200000000000003,-1.049999999999999,-1.240000000000002,2.3099999999999987,-0.15999999999999837,-0.38000000000000256,0.5599999999999987
BEAUFORT,-1944.0,1363.0,1346.0,765.0,-782.0,1411.0,1711.0,2340.0,1169.0,1976.0,2372.0,5517.0,-6.6299999999999955,3.229999999999997,3.41,4.8799999999999955,5.320000000000007,5.049999999999997,-5.420000000000002,2.1600000000000037,3.259999999999998,-6.57,3.3399999999999963,3.2200000000000024,0.05999999999999517,0.10999999999999943,-0.18999999999999773
BERTIE,-1540.0,539.0,91.0,-910.0,-292.0,516.0,238.0,462.0,1354.0,667.0,360.0,2381.0,-6.609999999999999,1.42,5.18,8.289999999999992,10.780000000000001,5.979999999999997,-5.140000000000001,1.4799999999999986,3.6599999999999984,-6.3700000000000045,1.8900000000000006,4.48,0.23999999999999488,0.47000000000000064,-0.6999999999999993
BLADEN,-2957.0,1239.0,1497.0,-221.0,-1464.0,1256.0,1421.0,1213.0,314.0,1489.0,1414.0,3217.0,-12.350000000000001,6.6899999999999995,5.670000000000002,5.539999999999992,6.299999999999997,6.329999999999998,-11.75,6.540000000000001,5.210000000000001,-12.759999999999998,7.140000000000001,5.619999999999997,-0.4099999999999966,0.45000000000000107,-0.05000000000000426
BRUNSWICK,130.0,9322.0,10022.0,19474.0,2718.0,8656.0,10335.0,21709.0,5165.0,10546.0,11795.0,27506.0,-4.710000000000001,2.4200000000000017,2.289999999999999,9.649999999999991,5.590000000000003,5.310000000000002,-2.960000000000001,0.8299999999999983,2.1400000000000006,-3.4800000000000004,1.7900000000000063,1.6799999999999997,1.2300000000000004,-0.6299999999999955,-0.6099999999999994
BUNCOMBE,-469.0,9814.0,-190.0,9155.0,5899.0,13164.0,3060.0,22123.0,11825.0,17625.0,6069.0,35519.0,-1.970000000000006,-1.1499999999999986,3.1200000000000045,8.010000000000005,6.719999999999999,8.210000000000008,-2.5800000000000054,-1.7199999999999989,4.299999999999997,-1.9600000000000009,-1.5500000000000007,3.509999999999998,0.010000000000005116,-0.40000000000000213,0.38999999999999346
BURKE,-3901.0,1633.0,2038.0,-230.0,-1034.0,2944.0,3603.0,5513.0,868.0,3907.0,4828.0,9603.0,-6.549999999999997,3.6300000000000026,2.919999999999998,10.11,9.239999999999995,9.740000000000009,-6.469999999999999,2.8800000000000026,3.59,-6.360000000000003,3.259999999999998,3.099999999999998,0.18999999999999417,-0.37000000000000455,0.17999999999999972
CABARRUS,3385.0,11517.0,3201.0,18103.0,6160.0,11531.0,6192.0,23883.0,13132.0,17202.0,14890.0,45224.0,-1.509999999999998,-2.3500000000000014,3.860000000000003,8.560000000000002,7.079999999999998,7.569999999999993,-1.6999999999999993,-3.259999999999998,4.960000000000001,-0.9199999999999982,-2.990000000000002,3.9099999999999966,0.5899999999999999,-0.6400000000000006,0.049999999999993605
CALDWELL,-3750.0,1352.0,1716.0,-682.0,-422.0,2544.0,4277.0,6399.0,906.0,3408.0,5909.0,10223.0,-6.509999999999998,3.6799999999999997,2.8099999999999987,15.79,11.379999999999995,10.25,-4.57,2.049999999999997,2.5199999999999996,-4.649999999999999,2.539999999999999,2.1000000000000014,1.8599999999999994,-1.1400000000000006,-0.7099999999999973
CAMDEN,-740.0,673.0,552.0,485.0,-332.0,686.0,583.0,937.0,41.0,872.0,656.0,1569.0,-10.990000000000002,4.940000000000001,6.049999999999997,7.740000000000002,6.75,7.319999999999993,-10.98,3.8200000000000003,7.160000000000004,-10.48,4.640000000000001,5.850000000000001,0.5100000000000016,-0.3000000000000007,-0.19999999999999574
